Movie, Genre, Actor,Actor2,Actor3
Tea with Mussolini,Comedy,Lily Tomlin,Kane Hodder,Lexa Doig
Thinner,Fantasy,Joe Mantegna,Donald Faison,Lee Majors
"New York, New YorkÂ ",Drama,Robert De Niro,Nick Cannon,Brian Geraghty
Crooklyn,Comedy,Alfre Woodard,Ivana Milicevic,China Chow
I Think I Love My Wife,Comedy,Steve Buscemi,Jackson Nicoll,Osric Chau
Jason X,Action,Peter Mensah,Mathieu Amalric,Isaach De BankolÃ©
Big Fat Liar,Adventure,Frankie Muniz,Noah Emmerich,Jane Adams
Bobby,Drama,Anthony Hopkins,Sharon Lawrence,Noam Jenkins
Head Over Heels,Comedy,Monica Potter,Julie Kavner,Tovah Feldshuh
Fun Size,Adventure,Thomas McDonell,Terry Pheto,Bonnie Henna
The Diving Bell and the Butterfly,Biography,Emmanuelle Seigner,Angela Featherstone,Candace Kroslak
Little Children,Drama,Kate Winslet,Todd Boyce,Nigel Whitmey
Gossip,Drama,Norman Reedus,Kristin Scott Thomas,Kris Marshall
A Walk on the Moon,Drama,Viggo Mortensen,Joseph Cotten,Behrouz Vossoughi
Catch a Fire,Biography,Derek Luke,Ruth Sheen,Karl Johnson
Soul Survivors,Drama,Melissa Sagemiller,Sara Forestier,Edouard Baer
Jefferson in Paris,Biography,Seth Gilliam,Mathieu Kassovitz,Ulrich MÃ_he
Easy Virtue,Comedy,Colin Firth,Shawn Yue,Kelly Lin
Caravans,Action,Christopher Lee,Katherine LaNasa,Mark L. Young
Mr. Turner,Biography,Lesley Manville,Kieran Culkin,John Gallagher Jr.
Wild Grass,Drama,Mathieu Amalric,Kenan Thompson,Diora Baird
Amen.,Biography,Sebastian Koch,Rebecca De Mornay,Aidan Quinn
Reign of Assassins,Action,Woo-sung Jung,Heath Ledger,Anne Hathaway
The Lucky Ones,Comedy,John Heard,Danny Woodburn,Jeremy Howard
Margaret,Drama,Matt Damon,Dan Hedaya,Elisa Donovan
Stan Helsing,Comedy,Steve Howey,Celia Weston,Michael Gaston
Flipped,Comedy,Madeline Carroll,Gillian Jacobs,Collette Wolfe
Brokeback Mountain,Drama,Jake Gyllenhaal,Olaf Lubaszenko,Olgierd Lukaszewicz
Teenage Mutant Ninja Turtles,Action,Noel Fisher,Stephen Marcus,Amelia Warner
Clueless,Comedy,Donald Faison,Gabourey Sidibe,Michael Stuhlbarg
Far from Heaven,Drama,Dennis Quaid,Tamara Tunie,Aunjanue Ellis
Hot Tub Time Machine 2,Comedy,Adam Scott,Marian Dziedziel,Jaroslaw Boberek
DekalogÂ             ,Drama,Krystyna Janda,Bruno Ganz,Alexandra Maria Lara
Quills,Biography,Kate Winslet,Lola DueÃ±as,Tamar Novas
Seven Psychopaths,Comedy,Abbie Cornish,Paul Brannigan,Alison Chand
The Caveman's Valentine,Crime,Colm Feore,J.T. Walsh,Bruno Kirby
The BorderÂ             ,Action,Jacek Koman,Stephanie Danielson,Michael Rispoli
Downfall,Biography,Thomas Kretschmann,Sean Kingston,Boys II Men
The Sea Inside,Biography,BelÃ©n Rueda,Mila Kunis,Mark Margolis
Under the Skin,Drama,Scarlett Johansson,Abbie Cornish,Jennifer Ehle
"Good Morning, VietnamÂ ",Biography,Robin Williams,Al Pacino,Robert Duvall
The Last Godfather,Comedy,Jason Mewes,Terry Kinney,Fredro Starr
Justin Bieber: Never Say Never,Documentary,Usher Raymond,Rodney Eastman,Brooke Bundy
Black Swan,Drama,Natalie Portman,Brighton Sharbino,Martin Henderson
RoboCop,Action,Gary Oldman,Mary Lynn Rajskub,Marla Sokoloff
The Godfather: Part II,Crime,Robert De Niro,Patrick Wayne,Brian Keith
Save the Last Dance,Drama,Sean Patrick Thomas,Naomi Watts,Reg E. Cathey
A Nightmare on Elm Street 4: The Dream Master,Fantasy,Tuesday Knight,Regina Hall,Bryan Callen
Miracles from Heaven,Drama,Jennifer Garner,Heath Ledger,Andrew Keegan
"Dude, Where's My Car?Â ",Comedy,Jennifer Garner,Eddie Griffin,Gene Simmons
Young Guns,Action,Jack Palance,Lin Shaye,Bill Nunn
St. Vincent,Comedy,Bill Murray,Brett Cullen,Sedona Legge
About Last Night,Comedy,Joe Lo Truglio,Eric Stoltz,Cameron Bright
10 Things I Hate About You,Comedy,Joseph Gordon-Levitt,Mark Webber,Jean Smart
The New Guy,Comedy,Zooey Deschanel,Chris Brown,Loretta Devine
Loaded Weapon 1,Action,Jon Lovitz,Dom DeLuise,Ruby Dee
The Shallows,Drama,Ã“scar Jaenada,Elliott Gould,Antonio Sabato Jr.
The Butterfly Effect,Sci-Fi,Logan Lerman,Eartha Kitt,Charlotte Sullivan
Snow Day,Adventure,Chris Elliott,Beth Grant,Greg Germann
This Christmas,Comedy,Mekhi Phifer,Kate del Castillo,Henry Simmons
Baby Geniuses,Comedy,Kathleen Turner,Alexa Davalos,Jeffrey DeMunn
The Big Hit,Action,Bokeem Woodbine,Sonoya Mizuno,Corey Johnson
Harriet the Spy,Comedy,Gregory Smith,Orson Bean,Mary Kay Place
Child's Play 2,Fantasy,Jenny Agutter,Vivica A. Fox,Tamala Jones
No Good Deed,Crime,Leslie Bibb,Ella Wahlestedt,Jason Gray-Stanford
The Mist,Horror,Toby Jones,Jay Hernandez,Rolando Molina
Ex Machina,Drama,Elina Alminas,Kazunari Ninomiya,ShidÃ´ Nakamura
Being John Malkovich,Comedy,Willie Garson,Virginia Madsen,Bruce Dern
Two Can Play That Game,Comedy,Mo'Nique,Jada Pinkett Smith,Dave Chappelle
Earth to Echo,Adventure,Teo Halm,Jacob Tremblay,Cas Anvar
Crazy/Beautiful,Drama,Kirsten Dunst,Jack Warden,Traylor Howard
Letters from Iwo Jima,Drama,Yuki Matsuzaki,Sam Waterston,Traci Lords
The Astronaut Farmer,Adventure,J.K. Simmons,Will Ferrell,Kirsten Dunst
Woo,Comedy,LL Cool J,David Dencik,Lena Endre
Room,Drama,Joan Allen,Vanessa Williams,Robert Ri'chard
Dirty Work,Comedy,Don Rickles,Ellen Albertini Dow,Sela Ward
Serial Mom,Comedy,Kathleen Turner,Geoffrey Arend,Marley Shelton
Dick,Comedy,Ryan Reynolds,Mathieu Kassovitz,Ben Chaplin
Del 1 - MÃ_n som hatar kvinnorÂ             ,Action,Michael Nyqvist,Josie Loren,Sarah Wright
Light It Up,Drama,Rosario Dawson,Miranda Richardson,Catalina Sandino Moreno
54,Drama,Salma Hayek,Kathryn Morris,Peter Coyote
Bubble Boy,Adventure,Jake Gyllenhaal,Sarita Choudhury,Christopher Evan Welch
Birthday Girl,Comedy,Mark Gatiss,Daniel Auteuil,Yves Jacques
21 & Over,Comedy,Justin Chon,Meghan Heffern,Natalie Lisinska
"Paris, je t'aimeÂ ",Comedy,Steve Buscemi,Ryan O'Neal,Paul Mazursky
Resurrecting the Champ,Drama,Harry Lennix,Jake Gyllenhaal,Ethan Suplee
Admission,Comedy,Tina Fey,Vin Diesel,Alex Rocco
The Widow of Saint-Pierre,Drama,Emir Kusturica,Ezra Miller,Kate Walsh
Chloe,Drama,Liam Neeson,Ian Gomez,Thomas Ian Griffith
Faithful,Comedy,Chazz Palminteri,Isabella Rossellini,Hope Davis
Brothers,Drama,Natalie Portman,Sarah Polley,Shirley Henderson
Find Me Guilty,Biography,Peter Dinklage,Alison Lohman,Dougray Scott
The Perks of Being a Wallflower,Drama,Logan Lerman,Luke Treadaway,Jodie Whittaker
Excessive Force,Action,Burt Young,Nikola Djuricko,Branko Djuric
Infamous,Biography,Toby Jones,Tara Platt,Roma Maffia
The Claim,Drama,Milla Jovovich,Dean Dawson,Jung-jae Lee
The Vatican Tapes,Horror,Djimon Hounsou,Aden Young,Steve Bastoni
Attack the Block,Action,John Boyega,Louis Herthum,Annie Golden
In the Land of Blood and Honey,Drama,Jelena Jovanova,Everett McGill,Gary Schwartz
The Call,Crime,Michael Imperioli,Kevin Connolly,Derek Luke
Operation Chromite,Action,Liam Neeson,Embeth Davidtz,Rob Morrow
The Crocodile Hunter: Collision Course,Action,Steve Irwin,Gary Oldman,Michael Rapaport
I Love You Phillip Morris,Biography,Dameon Clarke,Matt Smith,Hannah Murray
Quest for Fire,Adventure,Rae Dawn Chong,Al Pacino,Jude Ciccolella
Antwone Fisher,Biography,Denzel Washington,Ned Beatty,Jay R. Ferguson
The Emperor's Club,Drama,Gabriel Millman,Ruby Dee,John Heard
True Romance,Action,Brad Pitt,Margo Harshman,Rumer Willis
Womb,Drama,Eva Green,Mary Astor,Ronald Colman
Glengarry Glen Ross,Crime,Kevin Spacey,Kelli Garner,Paul Schneider
The Killer Inside Me,Crime,Liam Aiken,Sheila Hancock,Cara Horgan
Cat People,Fantasy,Ed Begley Jr.,Udo Kier,BjÃ¶rk
Sorority Row,Horror,Julian Morris,Richard Roxburgh,Clive Russell
The Prisoner of Zenda,Adventure,David Niven,Vincent Gallo,Gretchen Mol
Lars and the Real Girl,Comedy,Ryan Gosling,David Costabile,Richard Schiff
The Boy in the Striped Pajamas,Drama,Richard Johnson,Don Johnson,Cheech Marin
Dancer in the Dark,Crime,Catherine Deneuve,Eric Schweig,Christian Campbell
Oscar and Lucinda,Drama,Tom Wilkinson,Gabriel Damon,Bill Erwin
The Funeral,Crime,Isabella Rossellini,Bin Won,Dong-gun Jang
Solitary Man,Comedy,Jenna Fischer,Cheech Marin,Bruce McGill
Machete,Action,Robert De Niro,Linda Blair,Lee J. Cobb
Casino Jack,Biography,Kevin Spacey,Robert Shaw,Murray Hamilton
The Land Before Time,Adventure,Judith Barsi,Shannon Elizabeth,Natasha Lyonne
Tae Guk Gi: The Brotherhood of War,Action,Min-sik Choi,Megan Mullally,Lambert Wilson
The Perfect Game,Comedy,Clifton Collins Jr.,Randall 'Tex' Cobb,Charlotte Lewis
The Exorcist,Horror,Ellen Burstyn,Romany Malco,Regina Hall
Jaws,Adventure,Roy Scheider,Jason George,Cedric the Entertainer
American Pie,Comedy,Alyson Hannigan,Kirstie Alley,Nichelle Nichols
Ernest & Celestine,Animation,Mackenzie Foy,Udo Kier,David Margulies
The Golden Child,Action,Victor Wong,Barry Corbin,Ally Sheedy
Think Like a Man,Comedy,Chris Brown,Viggo Mortensen,Lukas Haas
Barbershop,Comedy,Sean Patrick Thomas,Jason Cottle,Rorke Denver
Star Trek II: The Wrath of Khan,Action,Leonard Nimoy,Alyson Stoner,Josh Henderson
Ace Ventura: Pet Detective,Comedy,Sean Young,Demi Moore,John Doman
WarGames,Sci-Fi,Matthew Broderick,Sid Haig,Robert Forster
Witness,Crime,Harrison Ford,Eric Winter,Beverly D'Angelo
Act of Valor,Action,Alex Veadov,Alex Russell,Ashley Hinshaw
Step Up,Crime,Channing Tatum,Amy Irving,Steven Hill
Beavis and Butt-Head Do America,Adventure,Bruce Willis,Michael Palin,Kenny Baker
Jackie Brown,Crime,Robert De Niro,Katherine Boecher,Dave Allen
Harold & Kumar Escape from Guantanamo Bay,Adventure,Danneel Ackles,Kirby Bliss Blanton,Oliver Cooper
Chronicle,Drama,Michael Kelly,Karl Malden,Bill Hickman
Yentl,Drama,Miriam Margolyes,Gary Cole,Connie Nielsen
Time Bandits,Adventure,Shelley Duvall,Jay Hernandez,Dania Ramirez
Crossroads,Comedy,Britney Spears,Alessandro Nivola,Obba BabatundÃ©
Project X,Comedy,Dax Flame,Shannon Elizabeth,Shad Moss
Patton,Biography,George C. Scott,Fred Willard,T.J. Thyne
One Hour Photo,Drama,Robin Williams,Jerry Nelson,Steve Whitmire
Quarantine,Horror,Andrew Fiscella,Tobias Menzies,Ivana Milicevic
The Eye,Horror,ChloÃ« Grace Moretz,Roger Rees,Valeria Golino
Johnson Family Vacation,Comedy,Vanessa Williams,Ashley Ashida Dixon,Anthony Burrell
How High,Comedy,Hector Elizondo,Sam Trammell,Nat Wolff
The Muppet Christmas Carol,Comedy,Steven Mackintosh,Martin Landau,Gretchen Mol
Casino Royale,Action,Eva Green,Romany Malco,J.B. Smoove
Frida,Biography,Salma Hayek,Richard Dysart,Robert Foxworth
Katy Perry: Part of Me,Documentary,Lexie Contursi,Kathryn Erbe,Lusia Strus
The Fault in Our Stars,Drama,Shailene Woodley,Kelvin Taylor,Viva Bianca
Rounders,Crime,Matt Damon,Mare Winningham,Peter Hermann
Top Five,Comedy,Rosario Dawson,Erika Christensen,Joan Allen
Prophecy,Horror,Talia Shire,Anne Meara,Steve Guttenberg
Stir of Echoes,Horror,Illeana Douglas,Joanna 'JoJo' Levesque,Dichen Lachman
Spartacus: War of the DamnedÂ             ,Action,Peter Mensah,Cara Delevingne,Meg Crosbie
Philomena,Biography,Steve Coogan,Marsha Thomason,Bai Ling
The Upside of Anger,Comedy,Alicia Witt,Bruce Dern,Will Forte
The Boys from Brazil,Drama,Laurence Olivier,Jada Pinkett Smith,Gary Farmer
Aquamarine,Comedy,Tammin Sursok,Amber Valletta,Larry Miller
Paper Towns,Drama,Nat Wolff,Patton Oswalt,Collette Wolfe
My Baby's Daddy,Comedy,Michael Imperioli,Edi Gathegi,Jose Pablo Cantillo
Nebraska,Adventure,Devin Ratray,Gilbert Gottfried,Lark Voorhies
Tales from the Crypt: Demon Knight,Action,CCH Pounder,Eddie Cibrian,Jenette Goldstein
Max Keeble's Big Move,Comedy,Noel Fisher,Laz Alonso,Mehcad Brooks
Young Adult,Comedy,Charlize Theron,Rosemarie DeWitt,Bill Irwin
Crank,Action,Jason Statham,Michael Lerner,John Colicos
How to Be a Player,Comedy,Bernie Mac,Colin Firth,Tom Wilkinson
Living Out Loud,Comedy,Holly Hunter,Martin Semmelrogge,Herbert GrÃ¶nemeyer
Just Wright,Comedy,Common,Marc Blucas,Jordi MollÃ 
Rachel Getting Married,Drama,Anne Hathaway,Barry Watson,Harland Williams
The Postman Always Rings Twice,Crime,Anjelica Huston,Tom Hollander,Lindsay Duncan
Girl with a Pearl Earring,Biography,Scarlett Johansson,Andy Lau,Zhengyong Zhang
Das Boot,Adventure,JÃ_rgen Prochnow,Curtiss Cook,Reg E. Cathey
The Alamo,Drama,Dennis Quaid,Jonny Weston,Sofia Black-D'Elia
Sorority Boys,Comedy,Heather Matarazzo,Veronika Dash,Tammy Blanchard
About Time,Drama,Tom Hughes,Dave Chappelle,Sherman Hemsley
House of Flying Daggers,Action,Takeshi Kaneshiro,Kurtwood Smith,Clifton Collins Jr.
Arbitrage,Drama,Nate Parker,Catherine O'Hara,Ed Begley Jr.
Project Almanac,Sci-Fi,Gary Weeks,Aleksa Palladino,Greg Mottola
Cadillac Records,Biography,Cedric the Entertainer,Joseph Cross,Dagmara Dominczyk
Screwed,Comedy,Sarah Silverman,Kelly Clarkson,Brian Dietzen
Fortress,Action,Christopher Lambert,Debi Mazar,Gretchen Mol
For Your Consideration,Comedy,John Michael Higgins,Nick Damici,Susan Gardner
Celebrity,Comedy,Melanie Griffith,Vinessa Shaw,Samantha Ivers
Running with Scissors,Comedy,Jill Clayburgh,Ray Winstone,JJ Feild
From Justin to Kelly,Comedy,Anika Noni Rose,Kang-ho Song,Ah-sung Ko
Girl 6,Comedy,Michael Imperioli,Treat Williams,Paul Gleason
In the Cut,Mystery,Jennifer Jason Leigh,Jeffrey Jones,David Arquette
Two Lovers,Drama,Isabella Rossellini,Megan Park,Hope Davis
Last Orders,Drama,Bob Hoskins,Sabrina Ferilli,Serena Grandi
The Host,Comedy,Doona Bae,Michael Harding,Jake Richardson
The Pursuit of D.B. Cooper,Adventure,Robert Duvall,Alden Ehrenreich,Harmony Korine
Ravenous,Fantasy,Jeremy Davies,Tony Chiu Wai Leung,Maggie Cheung
Charlie Bartlett,Comedy,Robert Downey Jr.,Erin Boyes,Timothy Webber
The Great Beauty,Drama,Toni Servillo,Hope Davis,Campbell Scott
The Dangerous Lives of Altar Boys,Comedy,Kieran Culkin,Stephen Rea,Alicja Bachleda
Stoker,Drama,Mia Wasikowska,Tatyana Ali,James Shigeta
2046,Drama,Li Gong,Isaiah Washington,Andy Davoli
Married Life,Crime,David Richmond-Peck,Anne Bancroft,Albert Brooks
Duma,Adventure,Eamonn Walker,Lynn Cohen,Brett Cullen
Ondine,Drama,Tony Curran,Mark Duplass,Sam Shepard
Brother,Crime,Omar Epps,Kate del Castillo,Alicja Bachleda
Welcome to Collinwood,Comedy,Michael Jeter,PÃ©ter Fancsikai,BÃ¡lint PÃ©ntek
Critical Care,Comedy,Kyra Sedgwick,Albert Finney,Omar Epps
The Life Before Her Eyes,Drama,Eva Amurri Martino,Ni Yan,Dahong Ni
Darling Companion,Comedy,Dianne Wiest,Jeremy Northam,Kari Matchett
Trade,Crime,Zack Ward,Yuanyuan Gao,Ryu Kohata
Fateless,Drama,Marcell Nagy,Matt Jones,April Winchell
Breakfast of Champions,Comedy,Bruce Willis,Tom Arnold,Rebecca Black
"A Woman, a Gun and a Noodle ShopÂ ",Comedy,Honglei Sun,Meisa Kuroki,Hiroyuki Ikeuchi
Cypher,Mystery,David Hewlett,Kenneth Cranham,Ana Imnadze
City of Life and Death,Drama,Ye Liu,Michael Dorman,Emma Lung
Home,Adventure,Jim Parsons,Kelly LeBrock,Alexandra Callas
Legend of Kung Fu Rabbit,Action,Jon Heder,Connor Corum,Rob Moran
Space Battleship Yamato,Action,Takuya Kimura,Brad Pitt,Jason Flemyng
5 Days of War,Action,Richard Coyle,Matt Marr,Ginger Jensen
Triangle,Fantasy,Rachael Carpani,Fred Gwynne,Denise Crosby
10 Days in a Madhouse,Drama,Christopher Lambert,Tetsu Watanabe,Akira Terao
Heaven Is for Real,Biography,Jacob Vargas,Caroline Dhavernas,Charlotte Sullivan
Snatch,Comedy,Jason Statham,Ching Wan Lau,Hailu Qin
Dancin' It's On,Family,Gary Daniels,Harry Carey Jr.,Zach Galligan
Pet Sematary,Fantasy,Miko Hughes,Peter Cushing,Kenny Baker
Madadayo,Drama,Tatsuo Matsumura,Zoey Deutch,Jason Mantzoukas
The Cry of the Owl,Drama,Paddy Considine,Klaus Kinski,Geraldine Chaplin
A Tale of Three Cities,Drama,Wei Tang,Selton Mello,Daniel Zettel
Gremlins,Comedy,Phoebe Cates,Matt Prokop,Corbin Bleu
Star Wars: Episode IV - A New Hope,Action,Harrison Ford,Jack McGee,Melissa McMeekin
Dirty Grandpa,Comedy,Robert De Niro,Steve-O,Chris Pontius
Doctor Zhivago,Drama,Julie Christie,Bruce McGill,Lane Smith
Trash,Adventure,Wagner Moura,Mireille Enos,Stacy Keach
High School Musical 3: Senior Year,Comedy,Lucas Grabeel,Damien Garvey,Christopher Sommers
The Fighter,Biography,Christian Bale,Tom Berenger,Rene Russo
Jackass Number Two,Action,Bam Margera,Rupert Everett,Tamsin Egerton
My Cousin Vinny,Comedy,Fred Gwynne,John Enos III,Richard T. Jones
If I Stay,Drama,ChloÃ« Grace Moretz,Peter Coyote,Paz de la Huerta
Drive Hard,Action,Zoe Ventoura,Celia Weston,Robert Prosky
Major League,Comedy,Corbin Bernsen,Sean Patrick Thomas,Eric Mabius
St. Trinian's,Comedy,Lily Cole,Shawnee Smith,George Newbern
Phone Booth,Crime,Radha Mitchell,Sid Caesar,Dom DeLuise
A Walk to Remember,Drama,Lauren German,Alicia Keys,Jennifer Hudson
Dead Man Walking,Crime,Lois Smith,Vinessa Shaw,Peter Berg
Cruel Intentions,Drama,Sarah Michelle Gellar,Gabrielle Carteris,Gregg Henry
Saw VI,Horror,Costas Mandylor,Peter Boyle,Rod Steiger
History of the World: Part I,Comedy,Madeline Kahn,Bud Cort,William Bassett
The Secret Life of Bees,Drama,Nate Parker,Fiona Glascott,Eva Birthistle
Corky Romano,Comedy,Vincent Pastore,Steven Berkoff,Hardy KrÃ_ger
Raising Cain,Crime,Steven Bauer,Jason London,Thomas Lennon
F.I.S.T.,Drama,Sylvester Stallone,John Witherspoon,Tim Meadows
Invaders from Mars,Horror,Louise Fletcher,Sheridan Smith,Pauline Collins
Brooklyn,Drama,Julie Walters,Jake Busey,David Ogden Stiers
Barry Lyndon,Adventure,Ryan O'Neal,Powers Boothe,Matt O'Leary
Out Cold,Comedy,Lee Majors,Frances Fisher,Elizabeth McGovern
The Ladies Man,Comedy,Will Ferrell,Oliver Platt,Dylan Baker
Quartet,Comedy,Luke Newberry,Bridget Fonda,Embeth Davidtz
Tomcats,Comedy,Shannon Elizabeth,Gedde Watanabe,Jim Rash
Frailty,Crime,Matthew McConaughey,Leonardo DiCaprio,Kevin Tighe
Woman in Gold,Biography,Ryan Reynolds,Alan Van Sprang,Scott Handy
Kinsey,Biography,Liam Neeson,Sally Hawkins,Imelda Staunton
Army of Darkness,Comedy,Patricia Tallman,Dash Mihok,Jimi Mistry
Slackers,Comedy,Jaime King,Chazz Palminteri,Vincent Gallo
What's Eating Gilbert Grape,Drama,Johnny Depp,Max Casella,Alex Karpovsky
The Visual Bible: The Gospel of John,Biography,Henry Ian Cusick,Andrew Keegan,John Heard
Vera Drake,Crime,Eddie Marsan,Wayne Pygram,Lisa Pelikan
The Guru,Comedy,Michael McKean,Anthony Zerbe,Samantha Eggar
The Perez Family,Comedy,Anjelica Huston,Steve Buscemi,Eddie Izzard
Inside Llewyn Davis,Drama,Justin Timberlake,David Kennedy,Angus Barnett
O,Drama,Mekhi Phifer,Zelda Rubinstein,Craig T. Nelson
Return to the Blue Lagoon,Adventure,Milla Jovovich,Sean Harris,Geoff Bell
The Molly Maguires,Drama,Frank Finlay,Costas Mandylor,Scott Patterson
Romance & Cigarettes,Comedy,Kate Winslet,Gena Rowlands,Britt Ekland
Copying Beethoven,Biography,Phyllida Law,Lina Esco,Alix Freihage
Poltergeist,Fantasy,Heather O'Rourke,Deborra-Lee Furness,Max Cullen
Brighton Rock,Crime,Sam Riley,John Abraham,Preity Zinta
Saw V,Horror,Julie Benz,Rupert Everett,Jeremy Northam
Machine Gun McCain,Crime,John Cassavetes,Olivia Williams,Tom Cullen
LOL,Comedy,Nora Dunn,Giancarlo Giannini,Francesc PagÃ¨s
Jindabyne,Crime,John Howard,Gary Lockwood,Glenn Beck
Kabhi Alvida Naa Kehna,Drama,Shah Rukh Khan,Dee Wallace,Peter Coyote
An Ideal Husband,Comedy,Minnie Driver,Elena Anaya,Dustin Milligan
The Last Days on Mars,Horror,Romola Garai,Marc Donato,Raoul Max Trujillo
Darkness,Horror,Lena Olin,Kelli Williams,Seymour Cassel
2001: A Space Odyssey,Adventure,Keir Dullea,Johnny Flynn,Hannah Britland
E.T. the Extra-Terrestrial,Family,Henry Thomas,Boman Irani,Riteish Deshmukh
In the Land of Women,Comedy,Kristen Stewart,Taylor Handley,Trent Ford
The Blue Butterfly,Adventure,William Hurt,Eduardo VerÃ¡stegui,Catalina Sandino Moreno
There Goes My Baby,Comedy,Ricky Schroder,Eric Elmosnino,FranÃ§ois Damiens
LovesickÂ             ,Comedy,Antonia Thomas,Matt Damon,Minnie Driver
Housefull,Comedy,Arjun Rampal,Anthony Hopkins,Glen Powell
September Dawn,Drama,Jon Gries,Shawnee Smith,Leigh Whannell
For Greater Glory: The True Story of Cristiada,Drama,Santiago Cabrera,Harold Ramis,Judge Reinhold
La Famille BÃ©lier,Comedy,Karin Viard,Lindsay Sloane,Clare Kramer
Good Will Hunting,Drama,Robin Williams,Joseph Julian Soria,Mykelti Williamson
Misconduct,Drama,Al Pacino,Clea DuVall,Kieran Culkin
Saw III,Horror,Costas Mandylor,Gabourey Sidibe,Mariah Carey
Stripes,Action,Bill Murray,Shawnee Smith,Angus Macfadyen
Bring It On,Comedy,Kirsten Dunst,Keegan Connor Tracy,Mike Dopud
The Purge: Election Year,Action,Frank Grillo,Cicely Tyson,Blair Underwood
She's All That,Comedy,Paul Walker,Bill Cobbs,Mary Elizabeth Mastrantonio
Precious,Drama,Mo'Nique,Richard Beymer,Eddie Albert
Saw IV,Horror,Costas Mandylor,Shaun Weiss,Elden Henson
White Noise,Drama,Deborah Kara Unger,Clea DuVall,Ted Raimi
Madea's Family Reunion,Comedy,Boris Kodjoe,Kevin Nealon,Frances Bay
The Color of Money,Drama,Tom Cruise,Patricia Belcher,Jonathan Breck
The Longest Day,Action,Richard Burton,George Carlin,Al Leong
The Mighty Ducks,Comedy,Lane Smith,Ron Moody,Jack Wild
The Grudge,Horror,Sarah Michelle Gellar,Penelope Wilton,Celia Imrie
Happy Gilmore,Comedy,Adam Sandler,Andrew Lawrence,Dabney Coleman
Jeepers Creepers,Horror,Eileen Brennan,Bruce Spence,Angelo Rossitto
Bill & Ted's Excellent Adventure,Adventure,Keanu Reeves,Vernon Wells,Rae Dawn Chong
Oliver!,Drama,Oliver Reed,Rupert Evans,Stephanie Lemelin
The Best Exotic Marigold Hotel,Comedy,Tom Wilkinson,Bokeem Woodbine,Geoffrey Arend
Recess: School's Out,Animation,Diedrich Bader,Mike Epps,Katt Williams
Mad Max Beyond Thunderdome,Action,Tina Turner,Hayley Kiyoko,Leigh Whannell
Commando,Action,Bill Duke,Vanity,Keshia Knight Pulliam
The Boy,Horror,Lauren Cohan,Brad Pitt,Jason Flemyng
Devil,Horror,Bojana Novakovic,Austin O'Brien,Troy Evans
Friday After Next,Comedy,John Witherspoon,Alexis Dziena,Aaron Yoo
Insidious: Chapter 3,Fantasy,Lin Shaye,Janeane Garofalo,George Carlin
The Last Dragon,Action,Mike Starr,Eva Amurri Martino,Sal Lopez
Snatch,Comedy,Jason Statham,Al Leong,Vic Morrow
The Lawnmower Man,Horror,Jeff Fahey,Kevin Tighe,Kelly Lynch
Nick and Norah's Infinite Playlist,Comedy,Ari Graynor,Salli Richardson-Whitfield,Charles S. Dutton
Dogma,Adventure,Matt Damon,Shiri Appleby,Jason Ritter
The Banger Sisters,Comedy,Erika Christensen,Danny Woodburn,Jessica Simpson
Twilight Zone: The Movie,Fantasy,Albert Brooks,Lauren Ambrose,Charlie Korsmo
Road House,Action,Ben Gazzara,William Smith,Tom Waits
A Low Down Dirty Shame,Action,Jada Pinkett Smith,Oona Laurence,Isiah Whitlock Jr.
Swimfan,Drama,Erika Christensen,Herbert Lom,Anthony Zerbe
Employee of the Month,Comedy,Dane Cook,James Ransone,Jaden Klein
Can't Hardly Wait,Comedy,Ethan Embry,Curtis Armstrong,Mike Epps
The Outsiders,Crime,Tom Cruise,Jessica Capshaw,Johnny Whitworth
Pete's Dragon,Adventure,Bryce Dallas Howard,Will Patton,Hakeem Kae-Kazim
The Dead Zone,Horror,Tom Skerritt,Virginia Madsen,Lily Tomlin
Sinister 2,Horror,Laila Haley,Clarence Williams III,Steve Harris
Sparkle,Drama,Omari Hardwick,Richard Lynch,Eddie Jones
Valentine,Horror,Marley Shelton,Brandon T. Jackson,Shad Moss
The Fourth Kind,Mystery,Milla Jovovich,Connie Nielsen,Olivia Williams
A Prairie Home Companion,Comedy,Meryl Streep,Donald Faison,Brittany Daniel
Sugar Hill,Drama,Khandi Alexander,Celia Imrie,Ronald Pickup
Invasion U.S.A.,Action,Billy Drago,Jane Krakowski,Willow Smith
Roll Bounce,Comedy,Jurnee Smollett-Bell,Chris Noth,Vanessa Lengies
Rushmore,Comedy,Bill Murray,Nicholas Turturro,Charlie Murphy
Skyline,Action,David Zayas,Simon Rhee,Jennifer Tung
The Second Best Exotic Marigold Hotel,Comedy,Tina Desai,Ariana Richards,Michael Gross
Kit Kittredge: An American Girl,Drama,Julia Ormond,Lindy Booth,Julian Richings
The Perfect Man,Comedy,Ben Feldman,David Carradine,Randy Quaid
Mo' Better Blues,Drama,Denzel Washington,Paul Ben-Victor,Kim Chan
Kung Pow: Enter the Fist,Action,Steve Oedekerk,Tye Sheridan,Sam Shepard
Tremors,Comedy,Reba McEntire,Thomas Lennon,Carlos Alazraqui
Wrong Turn,Horror,Kevin Zegers,Zayn Malik,Niall Horan
The Long Riders,Western,Dennis Quaid,Noureen DeWulf,Charles Napier
